author,comment,likes,published_at
@1stNamit,MR BEAST WILL RETURN IN AVENGERS: DOOMSDAY,1,2026-01-28T06:03:59Z
@raafatalhajjan8040,"Please, my God, hear my words.",0,2026-01-28T05:19:55Z
@sergiom1136,"27th January 2026
10 months and 20 days to Doomsday",0,2026-01-28T01:40:56Z
@Holy_Mewne,"Marvel 🫵🏻 pleaseeee🙏🏻🙏🏻....Don't make Thor into comedy material anymore!!!! We want a badass version of Thor...a serious version, not a comedian version",1,2026-01-27T23:16:46Z
@JP.8129.,"I swear on everything… if Thor dies… I don’t know, but he better not die.",0,2026-01-27T20:18:39Z
@daltonstockwell7054,I think the first Thor movie is the best out of the four we got with him. I really think having this kinda of drama and serious Thor is what we should have gotten in the later installments of him.,0,2026-01-27T18:21:45Z
@jebskie7661,Thor and Kratos will be in avengers doomsday,1,2026-01-27T16:42:37Z
@phamangkhoa7097,Your mom will return in avengers doomsday,1,2026-01-27T16:13:48Z
@kajetanholownia2895,"John 14;6 ""I am the way the truth and the life and no one comes to the Father except through me."" We can't do it on our own so trust in The Lord commit your life to Him put your faith in Him because job was done on the cross but grace is not a licence for sinning it is frees us form spiritual death punishment for our sins by Christ our Lord and only hope for He already won 2 Corinthians 12;9 ""My grace is sufficient for you for my power is made perfect in weakness ❤❤🙏",0,2026-01-27T14:48:46Z
@DivineWanderer19,❤❤❤,0,2026-01-27T11:41:09Z
@The_easy_mac,Is anyone else thinking that this may not be Thor Thor but a different Thor because he’s dressed like infinity war Thor not how Thor looks in love and thunder or this could actually be a flashback to infinity war Thor giving a speech before he strikes down Thanos but edited in a way to make it look like he’s talking about his daughter,1,2026-01-27T11:36:10Z
@tedyW4I,omg cool,0,2026-01-27T09:53:31Z
@jakubsmid8261,"“please father heed my words” It looks like Thor is scared and feel some kind worries about his next Enemy.
Thor will be definitely the most mature heroe in Doomsday.",1,2026-01-27T09:03:01Z
@sharrysingh6872,My fav❤,0,2026-01-27T03:46:03Z
@vikthekano,Thank God he is not played as a joke anymore.,1,2026-01-26T22:59:55Z
@Noahcg_01,Its definitely going to mess with a lot of the characters to doom with starks face. The man that restored the universe in a different way.,0,2026-01-26T17:29:33Z
@charlesalleriii9661,yes,0,2026-01-26T13:40:09Z
@justiceforgouthem,Rune king thor?? 💀,0,2026-01-26T08:27:39Z
@kevinh9110,"Kind he never knew? He grew up in a luxurious palace with a loving mom, and up to a certain point a brother he was close to, adored by friends.",1,2026-01-26T05:56:13Z
